"municipio_id","mpioresidencia","unique_people"
"-1","-1 - No Definido",4683
"05001","05001 - Medellín",1103
"05002","05002 - Abejorral",6
"05004","05004 - Abriaquí",3
"05021","05021 - Alejandría",7
"05030","05030 - Amagá",8
"05031","05031 - Amalfi",9
"05034","05034 - Andes",7
"05038","05038 - Angostura",1
"05040","05040 - Anorí",8
"05042","05042 - Santafé De Antioquia",8
"05044","05044 - Anza",2
"05045","05045 - Apartadó",471
"05051","05051 - Arboletes",22
"05055","05055 - Argelia",146
"05059","05059 - Armenia",2
"05079","05079 - Barbosa",37
"05088","05088 - Bello",179
"05091","05091 - Betania",6
"05093","05093 - Betulia",34
"05101","05101 - Ciudad Bolívar",13
"05107","05107 - Briceño",3
"05113","05113 - Buriticá",2
"05120","05120 - Cáceres",9
"05125","05125 - Caicedo",2
"05129","05129 - Caldas",12
"05138","05138 - Cañasgordas",8
"05142","05142 - Caracolí",5
"05145","05145 - Caramanta",3
"05147","05147 - Carepa",56
"05148","05148 - El Carmen De Viboral",13
"05154","05154 - Caucasia",27
"05172","05172 - Chigorodó",274
"05190","05190 - Cisneros",3
"05197","05197 - Cocorná",18
"05206","05206 - Concepción",6
"05209","05209 - Concordia",28
"05212","05212 - Copacabana",20
"05234","05234 - Dabeiba",44
"05237","05237 - Don Matías",13
"05240","05240 - Ebéjico",9
"05250","05250 - El Bagre",9
"05264","05264 - Entrerrios",1
"05266","05266 - Envigado",15
"05282","05282 - Fredonia",4
"05284","05284 - Frontino",9
"05308","05308 - Girardota",7
"05310","05310 - Gómez Plata",7
"05313","05313 - Granada",26
"05315","05315 - Guadalupe",2
"05318","05318 - Guarne",17
"05321","05321 - Guatape",6
"05360","05360 - Itagui",56
"05361","05361 - Ituango",20
"05364","05364 - Jardín",1
"05368","05368 - Jericó",1
"05376","05376 - La Ceja",36
"05380","05380 - La Estrella",25
"05400","05400 - La Unión",29
"05411","05411 - Liborina",25
"05425","05425 - Maceo",138
"05440","05440 - Marinilla",28
"05467","05467 - Montebello",5
"05475","05475 - Murindó",2
"05480","05480 - Mutatá",15
"05483","05483 - Nariño",7
"05490","05490 - Necoclí",17
"05495","05495 - Nechí",18
"05541","05541 - Peñol",10
"05543","05543 - Peque",2
"05579","05579 - Puerto Berrío",22
"05585","05585 - Puerto Nare",2
"05591","05591 - Puerto Triunfo",19
