"Armed conflict exposure event","N","N Co-occurrence with sexual violence","%"
"desplazamiento",7540257,29306,0.39
"amenaza",520805,9237,1.77
"homocidio",919051,2473,0.27
"hostigamientos",82845,1924,2.32
"tortura",9912,1818,18.34
"secuestro",33487,1780,5.32
"lesion_fis",13880,1657,11.94
"perdida_bienes",120168,996,0.83
"desparacion",160499,759,0.47
"reclut_ninos",7756,455,5.87
"no_info",42090,242,0.57
"lesion_psic",13949,226,1.62
"confinamiento",75961,192,0.25
"despojo_tierras",31464,160,0.51
"minas",11250,12,0.11
